iter	RMSE
0	3232.559868
1	2749.032901
2	2539.769097
3	2435.837925
4	2373.899479
5	2327.921257
6	2310.02965
7	2254.003645
8	2232.296838
9	2205.593509
10	2150.64552
11	2138.248123
12	2131.059426
13	2123.814648
14	2113.452194
15	2091.182643
16	2068.006295
17	2056.41668
18	2042.967338
19	2031.580108
20	2026.638067
21	2015.737574
22	2011.488734
23	2005.84242
24	2000.906325
25	1996.774388
26	1991.934622
27	1986.274913
28	1980.002776
29	1974.60098
30	1968.868389
31	1959.130479
32	1955.995784
33	1952.322343
34	1947.171898
35	1944.037376
36	1940.85816
37	1937.308659
38	1934.8779
39	1933.109724
40	1930.117036
41	1926.440369
42	1923.094603
43	1919.54727
44	1915.775626
45	1914.285556
46	1910.457537
47	1906.159228
48	1903.516072
49	1901.121145
50	1898.772981
51	1895.764971
52	1894.029049
53	1892.27394
54	1890.295791
55	1889.16564
56	1887.109722
57	1884.369906
58	1881.626781
59	1879.53107
60	1877.89994
61	1873.627895
62	1871.649903
63	1870.918954
64	1869.073217
65	1867.169578
66	1865.728043
67	1864.100625
68	1862.342563
69	1860.392682
70	1858.349766
71	1855.747371
72	1854.984753
73	1852.975702
74	1852.203889
75	1851.259918
76	1849.891202
77	1849.190228
78	1848.220021
79	1846.381916
80	1845.58817
81	1844.592238
82	1843.378451
83	1841.796969
84	1840.503719
85	1839.793677
86	1838.909759
87	1837.630955
88	1836.101537
89	1834.16134
90	1832.320539
91	1830.905989
92	1829.464626
93	1828.238312
94	1827.249292
95	1825.113277
96	1823.32558
97	1822.868237
98	1821.626598
99	1819.474547
100	1817.944213
101	1817.269996
102	1816.131455
103	1814.644579
104	1813.43966
105	1812.345968
106	1811.313513
107	1811.028161
108	1810.341201
109	1809.725369
110	1808.884722
111	1808.660854
112	1807.979201
113	1807.042259
114	1805.607858
115	1804.118142
116	1802.187065
117	1800.434282
118	1799.548401
119	1798.426784
120	1797.898733
121	1795.352267
122	1794.482505
123	1793.740908
124	1792.885551
125	1792.598677
126	1791.788073
127	1790.555967
128	1789.055289
129	1788.308537
130	1787.090039
131	1785.870514
132	1785.217185
133	1784.540321
134	1783.623129
135	1782.913016
136	1781.399143
137	1780.118294
138	1779.33778
139	1778.642342
140	1778.061976
141	1777.790016
142	1776.894258
143	1776.201045
144	1775.608879
145	1774.439638
146	1773.966063
147	1772.257003
148	1771.349621
149	1770.683622
