iter	Passed	Remaining
0	37	5610
1	55	4106
2	71	3485
3	82	2998
4	92	2690
5	103	2473
6	113	2320
7	124	2216
8	134	2112
9	145	2030
10	155	1970
11	165	1906
12	175	1848
13	185	1799
14	194	1751
15	205	1718
16	215	1684
17	225	1656
18	236	1628
19	247	1609
20	257	1584
21	269	1567
22	279	1546
23	291	1529
24	301	1507
25	311	1487
26	322	1468
27	332	1450
28	343	1431
29	354	1418
30	366	1405
31	378	1396
32	392	1389
33	405	1381
34	418	1376
35	429	1359
36	439	1342
37	450	1329
38	460	1310
39	470	1292
40	480	1278
41	490	1261
42	500	1246
43	511	1231
44	521	1216
45	531	1201
46	541	1185
47	551	1172
48	561	1157
49	571	1142
50	581	1128
51	591	1114
52	600	1099
53	610	1085
54	621	1073
55	631	1059
56	641	1046
57	651	1033
58	662	1021
59	672	1008
60	682	995
61	692	983
62	702	970
63	712	956
64	721	943
65	731	930
66	741	918
67	751	905
68	761	893
69	771	881
70	781	869
71	791	857
72	800	844
73	811	833
74	820	820
75	830	808
76	840	796
77	849	784
78	859	772
79	870	761
80	881	751
81	892	740
82	905	730
83	916	720
84	927	709
85	938	698
86	952	689
87	963	679
88	976	669
89	989	659
90	1001	649
91	1013	639
92	1027	629
93	1040	619
94	1051	608
95	1064	598
96	1076	587
97	1088	577
98	1099	566
99	1110	555
100	1122	544
101	1133	533
102	1144	522
103	1154	510
104	1165	499
105	1177	488
106	1190	478
107	1204	468
108	1217	457
109	1231	447
110	1245	437
111	1257	426
112	1272	416
113	1291	407
114	1306	397
115	1321	387
116	1336	376
117	1352	366
118	1365	355
119	1380	345
120	1392	333
121	1406	322
122	1420	311
123	1436	301
124	1451	290
125	1463	278
126	1476	267
127	1491	256
128	1511	246
129	1525	234
130	1540	223
131	1552	211
132	1565	200
133	1579	188
134	1593	177
135	1607	165
136	1620	153
137	1635	142
138	1650	130
139	1663	118
140	1675	106
141	1686	94
142	1701	83
143	1720	71
144	1736	59
145	1755	48
146	1773	36
147	1787	24
148	1801	12
149	1812	0
